學生編號,年齡,性別,學業程度／年級,國家,每日平均使用社群媒體時數,"	最常使用的社群平台",是否影響學業表現,每晚睡眠時數,心理健康分數,感情狀況,"	是否因社群媒體產生衝突",成癮程度分數
329,19,女性,大學,France,4.5,Instagram,No,7.5,7,戀愛中,2,5
330,21,男性,研究生,Canada,5.3,Instagram,Yes,6.9,6,單身,3,7
331,20,女性,大學,Spain,5.1,TikTok,Yes,6.7,6,單身,3,7
332,22,男性,研究生,Denmark,3.9,Facebook,No,7.9,8,戀愛中,2,4
333,19,女性,大學,Ireland,4.8,Instagram,Yes,7.1,7,單身,3,6
334,21,男性,研究生,India,5.9,WhatsApp,Yes,6.4,5,戀愛中,4,8
335,20,女性,大學,Switzerland,3.8,Instagram,No,8,8,單身,2,4
336,22,男性,研究生,Turkey,5.4,TikTok,Yes,6.8,6,單身,3,7
337,19,女性,大學,USA,6.9,Instagram,Yes,5.4,5,戀愛中,4,9
338,21,男性,研究生,Mexico,5.7,WhatsApp,Yes,6.5,6,單身,3,7
339,20,女性,大學,France,4.4,Instagram,No,7.6,7,戀愛中,2,5
340,22,男性,研究生,Canada,5.2,TikTok,Yes,7,6,單身,3,7
341,19,女性,大學,Spain,5,Instagram,Yes,6.9,6,單身,3,7
342,21,男性,研究生,Denmark,3.8,Facebook,No,8,8,戀愛中,2,4
343,20,女性,大學,Ireland,4.7,TikTok,Yes,7.2,7,單身,3,6
344,22,男性,研究生,India,6,WhatsApp,Yes,6.3,5,戀愛中,4,8
345,19,女性,大學,Switzerland,3.7,Instagram,No,8.1,8,單身,2,4
346,21,男性,研究生,Turkey,5.3,Instagram,Yes,6.9,6,單身,3,7
347,20,女性,大學,USA,7,TikTok,Yes,5.3,5,戀愛中,4,9
348,22,男性,研究生,Mexico,5.8,WhatsApp,Yes,6.4,6,單身,3,7
349,19,女性,大學,France,4.3,Instagram,No,7.7,7,戀愛中,2,5
350,21,男性,研究生,Canada,5.1,Instagram,Yes,7.1,6,單身,3,7
351,20,女性,大學,Spain,4.9,TikTok,Yes,7,6,單身,3,7
352,22,男性,研究生,Denmark,3.7,Facebook,No,8.1,8,戀愛中,2,4
353,19,女性,大學,Ireland,4.6,Instagram,Yes,7.3,7,單身,3,6
354,21,男性,研究生,India,6.1,WhatsApp,Yes,6.2,5,戀愛中,4,8
355,20,女性,大學,Switzerland,3.6,Instagram,No,8.2,8,單身,2,4
356,22,男性,研究生,Turkey,5.2,TikTok,Yes,7,6,單身,3,7
357,19,女性,大學,USA,7.1,Instagram,Yes,5.2,5,戀愛中,4,9
358,21,男性,研究生,Mexico,5.9,WhatsApp,Yes,6.3,6,單身,3,7
359,20,女性,大學,France,4.2,Instagram,No,7.8,7,戀愛中,2,5
360,22,男性,研究生,Canada,5,TikTok,Yes,7.2,6,單身,3,7
361,19,女性,大學,Spain,4.8,Instagram,Yes,7.1,6,單身,3,7
362,21,男性,研究生,Denmark,3.6,Facebook,No,8.2,8,戀愛中,2,4
363,20,女性,大學,Ireland,4.5,TikTok,Yes,7.4,7,單身,3,6
364,22,男性,研究生,India,6.2,WhatsApp,Yes,6.1,5,戀愛中,4,8
365,19,女性,大學,Switzerland,3.5,Instagram,No,8.3,8,單身,2,4
366,21,男性,研究生,Turkey,5.1,Instagram,Yes,7.1,6,單身,3,7
367,20,女性,大學,USA,7.2,TikTok,Yes,5.1,5,戀愛中,4,9
368,22,男性,研究生,Mexico,6,WhatsApp,Yes,6.2,6,單身,3,7
369,19,女性,大學,France,4.1,Instagram,No,7.9,7,戀愛中,2,5
370,21,男性,研究生,Canada,4.9,Instagram,Yes,7.3,6,單身,3,7
371,20,女性,大學,Spain,4.7,TikTok,Yes,7.2,6,單身,3,7
372,22,男性,研究生,Denmark,3.5,Facebook,No,8.3,8,戀愛中,2,4
373,19,女性,大學,Ireland,4.4,Instagram,Yes,7.5,7,單身,3,6
374,21,男性,研究生,India,6.3,WhatsApp,Yes,6,5,戀愛中,4,8
375,20,女性,大學,Switzerland,3.4,Instagram,No,8.4,8,單身,2,4
376,22,男性,研究生,Turkey,5,TikTok,Yes,7.2,6,單身,3,7
377,19,女性,大學,USA,7.3,Instagram,Yes,5,5,戀愛中,4,9
378,21,男性,研究生,Mexico,6.1,WhatsApp,Yes,6.1,6,單身,3,7
379,20,女性,大學,France,4,Instagram,No,8,7,戀愛中,2,5
380,22,男性,研究生,Canada,4.8,TikTok,Yes,7.4,6,單身,3,7
381,19,女性,大學,Spain,4.6,Instagram,Yes,7.3,6,單身,3,7
382,21,男性,研究生,Denmark,3.4,Facebook,No,8.4,8,戀愛中,2,4
383,20,女性,大學,Ireland,4.3,TikTok,Yes,7.6,7,單身,3,6
384,22,男性,研究生,India,6.4,WhatsApp,Yes,5.9,5,戀愛中,4,8
385,19,女性,大學,Switzerland,3.3,Instagram,No,8.5,8,單身,2,4
386,21,男性,研究生,Turkey,4.9,Instagram,Yes,7.3,6,單身,3,7
387,20,女性,大學,USA,7.4,TikTok,Yes,4.9,5,戀愛中,4,9
388,22,男性,研究生,Mexico,6.2,WhatsApp,Yes,6,6,單身,3,7
389,19,女性,大學,France,3.9,Instagram,No,8.1,7,戀愛中,2,5
390,21,男性,研究生,Canada,4.7,Instagram,Yes,7.5,6,單身,3,7
391,20,女性,大學,Spain,4.5,TikTok,Yes,7.4,6,單身,3,7
392,22,男性,研究生,Denmark,3.3,Facebook,No,8.5,8,戀愛中,2,4
393,19,女性,大學,Ireland,4.2,Instagram,Yes,7.7,7,單身,3,6
394,21,男性,研究生,India,6.5,WhatsApp,Yes,5.8,5,戀愛中,4,8
395,20,女性,大學,Switzerland,3.2,Instagram,No,8.6,8,單身,2,4
396,22,男性,研究生,Turkey,4.8,TikTok,Yes,7.4,6,單身,3,7
397,19,女性,大學,USA,7.5,Instagram,Yes,4.8,5,戀愛中,4,9
398,21,男性,研究生,Mexico,6.3,WhatsApp,Yes,5.9,6,單身,3,7
399,20,女性,大學,France,3.8,Instagram,No,8.2,7,戀愛中,2,5
400,22,男性,研究生,Canada,4.6,TikTok,Yes,7.6,6,單身,3,7
401,19,女性,大學,Spain,4.4,Instagram,Yes,7.5,6,單身,3,7
402,21,男性,研究生,Denmark,3.2,Facebook,No,8.6,8,戀愛中,2,4
403,20,女性,大學,Ireland,4.1,TikTok,Yes,7.8,7,單身,3,6
404,22,男性,研究生,India,6.6,WhatsApp,Yes,5.7,5,戀愛中,4,8
405,19,女性,大學,Switzerland,3.1,Instagram,No,8.7,8,單身,2,4
406,21,男性,研究生,Turkey,4.7,Instagram,Yes,7.5,6,單身,3,7
407,20,女性,大學,USA,7.6,TikTok,Yes,4.7,5,戀愛中,4,9
408,22,男性,研究生,Mexico,6.4,WhatsApp,Yes,5.8,6,單身,3,7
409,19,女性,大學,France,3.7,Instagram,No,8.3,7,戀愛中,2,5
410,21,男性,研究生,Canada,4.5,Instagram,Yes,7.7,6,單身,3,7
411,20,女性,大學,Spain,4.3,TikTok,Yes,7.6,6,單身,3,7
412,22,男性,研究生,Denmark,3.1,Facebook,No,8.7,8,戀愛中,2,4
413,19,女性,大學,Ireland,4,Instagram,Yes,7.9,7,單身,3,6
414,21,男性,研究生,India,6.7,WhatsApp,Yes,5.6,5,戀愛中,4,8
415,20,女性,大學,Switzerland,3,Instagram,No,8.8,8,單身,2,4
416,22,男性,研究生,Turkey,4.6,TikTok,Yes,7.6,6,單身,3,7
417,19,女性,大學,USA,7.7,Instagram,Yes,4.6,5,戀愛中,4,9
418,21,男性,研究生,Mexico,6.5,WhatsApp,Yes,5.7,6,單身,3,7
419,20,女性,大學,France,3.6,Instagram,No,8.4,7,戀愛中,2,5
420,22,男性,研究生,Canada,4.4,TikTok,Yes,7.8,6,單身,3,7
421,19,女性,大學,Spain,4.2,Instagram,Yes,7.7,6,單身,3,7
422,21,男性,研究生,Denmark,3,Facebook,No,8.8,8,戀愛中,2,4
423,20,女性,大學,Ireland,3.9,TikTok,Yes,8,7,單身,3,6
424,22,男性,研究生,India,6.8,WhatsApp,Yes,5.5,5,戀愛中,4,8
425,19,女性,大學,Switzerland,2.9,Instagram,No,8.9,8,單身,2,4
426,21,男性,研究生,Turkey,4.5,Instagram,Yes,7.7,6,單身,3,7
427,20,女性,大學,USA,7.8,TikTok,Yes,4.5,5,戀愛中,4,9
428,22,男性,研究生,Mexico,6.6,WhatsApp,Yes,5.6,6,單身,3,7
429,19,女性,大學,France,3.5,Instagram,No,8.5,7,戀愛中,2,5
430,21,男性,研究生,Canada,4.3,Instagram,Yes,7.9,6,單身,3,7
431,20,女性,大學,Spain,4.1,TikTok,Yes,7.8,6,單身,3,7
432,22,男性,研究生,Denmark,2.9,Facebook,No,8.9,8,戀愛中,2,4
433,19,女性,大學,Ireland,3.8,Instagram,Yes,8.1,7,單身,3,6
434,21,男性,研究生,India,6.9,WhatsApp,Yes,5.4,5,戀愛中,4,8
435,20,女性,大學,Switzerland,2.8,Instagram,No,9,8,單身,2,4
436,22,男性,研究生,Turkey,4.4,TikTok,Yes,7.8,6,單身,3,7
437,19,女性,大學,USA,7.9,Instagram,Yes,4.4,5,戀愛中,4,9
438,21,男性,研究生,Mexico,6.7,WhatsApp,Yes,5.5,6,單身,3,7
439,20,女性,大學,France,3.4,Instagram,No,8.6,7,戀愛中,2,5
440,22,男性,研究生,Canada,4.2,TikTok,Yes,8,6,單身,3,7
441,19,女性,大學,Spain,4,Instagram,Yes,7.9,6,單身,3,7
442,21,男性,研究生,Denmark,2.8,Facebook,No,9,8,戀愛中,2,4
443,20,女性,大學,Ireland,3.7,TikTok,Yes,8.2,7,單身,3,6
444,22,男性,研究生,India,7,WhatsApp,Yes,5.3,5,戀愛中,4,8
445,19,女性,大學,Switzerland,2.7,Instagram,No,9.1,8,單身,2,4
446,21,男性,研究生,Turkey,4.3,Instagram,Yes,7.9,6,單身,3,7
447,20,女性,大學,USA,8,TikTok,Yes,4.3,5,戀愛中,4,9
448,22,男性,研究生,Mexico,6.8,WhatsApp,Yes,5.4,6,單身,3,7
449,19,女性,大學,France,3.3,Instagram,No,8.7,7,戀愛中,2,5
450,21,男性,研究生,Canada,4.1,Instagram,Yes,8.1,6,單身,3,7
451,20,女性,大學,Spain,3.9,TikTok,Yes,8,6,單身,3,7
452,22,男性,研究生,Denmark,2.7,Facebook,No,9.1,8,戀愛中,2,4
453,19,女性,大學,Ireland,3.6,Instagram,Yes,8.3,7,單身,3,6
454,21,男性,研究生,India,7.1,WhatsApp,Yes,5.2,5,戀愛中,4,8
455,20,女性,大學,Switzerland,2.6,Instagram,No,9.2,8,單身,2,4
456,22,男性,研究生,Turkey,4.2,TikTok,Yes,8,6,單身,3,7
457,19,女性,大學,USA,8.1,Instagram,Yes,4.2,5,戀愛中,4,9
458,21,男性,研究生,Mexico,6.9,WhatsApp,Yes,5.3,6,單身,3,7
459,20,女性,大學,France,3.2,Instagram,No,8.8,7,戀愛中,2,5
460,22,男性,研究生,Canada,4,TikTok,Yes,8.2,6,單身,3,7
461,19,女性,大學,Spain,3.8,Instagram,Yes,8.1,6,單身,3,7
462,21,男性,研究生,Denmark,2.6,Facebook,No,9.2,8,戀愛中,2,4
463,20,女性,大學,Ireland,3.5,TikTok,Yes,8.4,7,單身,3,6
464,22,男性,研究生,India,7.2,WhatsApp,Yes,5.1,5,戀愛中,4,8
465,19,女性,大學,Switzerland,2.5,Instagram,No,9.3,8,單身,2,4
466,21,男性,研究生,Turkey,4.1,Instagram,Yes,8.1,6,單身,3,7
467,20,女性,大學,USA,8.2,TikTok,Yes,4.1,5,戀愛中,4,9
468,22,男性,研究生,Mexico,7,WhatsApp,Yes,5.2,6,單身,3,7
469,19,女性,大學,France,3.1,Instagram,No,8.9,7,戀愛中,2,5
470,21,男性,研究生,Canada,3.9,Instagram,Yes,8.3,6,單身,3,7
471,20,女性,大學,Spain,3.7,TikTok,Yes,8.2,6,單身,3,7
472,22,男性,研究生,Denmark,2.5,Facebook,No,9.3,8,戀愛中,2,4
473,19,女性,大學,Ireland,3.4,Instagram,Yes,8.5,7,單身,3,6
474,21,男性,研究生,India,7.3,WhatsApp,Yes,5,5,戀愛中,4,8
475,20,女性,大學,Switzerland,2.4,Instagram,No,9.4,8,單身,2,4
476,22,男性,研究生,Turkey,4,TikTok,Yes,8.2,6,單身,3,7
477,19,女性,大學,USA,8.3,Instagram,Yes,4,5,戀愛中,4,9
478,21,男性,研究生,Mexico,7.1,WhatsApp,Yes,5.1,6,單身,3,7
479,20,女性,大學,France,3,Instagram,No,9,7,戀愛中,2,5
480,22,男性,研究生,Canada,3.8,TikTok,Yes,8.4,6,單身,3,7
481,19,女性,大學,Spain,3.6,Instagram,Yes,8.3,6,單身,3,7
482,21,男性,研究生,Denmark,2.4,Facebook,No,9.4,8,戀愛中,2,4
483,20,女性,大學,Ireland,3.3,TikTok,Yes,8.6,7,單身,3,6
484,22,男性,研究生,India,7.4,WhatsApp,Yes,4.9,5,戀愛中,4,8
485,19,女性,大學,Switzerland,2.3,Instagram,No,9.5,8,單身,2,4
486,21,男性,研究生,Turkey,3.9,Instagram,Yes,8.3,6,單身,3,7
487,20,女性,大學,USA,8.4,TikTok,Yes,3.9,5,戀愛中,4,9
488,22,男性,研究生,Mexico,7.2,WhatsApp,Yes,5,6,單身,3,7
489,19,女性,大學,France,2.9,Instagram,No,9.1,7,戀愛中,2,5
490,21,男性,研究生,Canada,3.7,Instagram,Yes,8.5,6,單身,3,7
491,20,女性,大學,Spain,3.5,TikTok,Yes,8.4,6,單身,3,7
492,22,男性,研究生,Denmark,2.3,Facebook,No,9.5,8,戀愛中,2,4
493,19,女性,大學,Ireland,3.2,Instagram,Yes,8.7,7,單身,3,6
494,21,男性,研究生,India,7.5,WhatsApp,Yes,4.8,5,戀愛中,4,8
495,20,女性,大學,Switzerland,2.2,Instagram,No,9.6,8,單身,2,4
496,22,男性,研究生,Turkey,3.8,TikTok,Yes,8.4,6,單身,3,7
497,19,女性,大學,USA,8.5,Instagram,Yes,3.8,5,戀愛中,4,9
498,21,男性,研究生,Mexico,7.3,WhatsApp,Yes,4.9,6,單身,3,7
499,20,女性,大學,France,2.8,Instagram,No,9.2,7,戀愛中,2,5
500,22,男性,研究生,Canada,3.6,TikTok,Yes,8.6,6,單身,3,7
501,19,女性,大學,Brazil,6.2,WhatsApp,Yes,6.3,6,單身,3,7
502,21,男性,研究生,China,4.5,WeChat,No,7.8,7,戀愛中,2,5
503,20,女性,大學,Netherlands,3.8,Instagram,No,8.2,8,單身,2,4
504,22,男性,研究生,New Zealand,4.7,Instagram,Yes,7.5,7,戀愛中,3,6
505,19,女性,大學,Singapore,5.1,TikTok,Yes,7,6,單身,3,7
506,21,男性,研究生,Malaysia,5.5,WhatsApp,Yes,6.8,6,單身,3,7
507,20,女性,大學,UAE,6.5,Instagram,Yes,6.5,5,戀愛中,4,8
508,22,男性,研究生,Poland,4.2,Facebook,No,7.9,7,單身,2,5
509,19,女性,大學,India,6.8,WhatsApp,Yes,6,5,戀愛中,4,8
510,21,男性,研究生,Canada,4.8,Instagram,Yes,7.4,7,單身,3,6
511,20,女性,大學,Brazil,6.1,Instagram,Yes,6.4,6,單身,3,7
512,22,男性,研究生,China,4.4,WeChat,No,7.9,7,戀愛中,2,5
513,19,女性,大學,Netherlands,3.7,TikTok,No,8.3,8,單身,2,4
514,21,男性,研究生,New Zealand,4.6,Instagram,Yes,7.6,7,戀愛中,3,6
515,20,女性,大學,Singapore,5.2,TikTok,Yes,6.9,6,單身,3,7
516,22,男性,研究生,Malaysia,5.6,WhatsApp,Yes,6.7,6,單身,3,7
517,19,女性,大學,UAE,6.6,Instagram,Yes,6.4,5,戀愛中,4,8
518,21,男性,研究生,Poland,4.1,Facebook,No,8,7,單身,2,5
519,20,女性,大學,India,6.9,WhatsApp,Yes,5.9,5,戀愛中,4,8
520,22,男性,研究生,Canada,4.7,TikTok,Yes,7.5,7,單身,3,6
521,19,女性,大學,Brazil,6,WhatsApp,Yes,6.5,6,單身,3,7
522,21,男性,研究生,China,4.3,WeChat,No,8,7,戀愛中,2,5
523,20,女性,大學,Netherlands,3.6,Instagram,No,8.4,8,單身,2,4
524,22,男性,研究生,New Zealand,4.5,Facebook,Yes,7.7,7,戀愛中,3,6
525,19,女性,大學,Singapore,5.3,TikTok,Yes,6.8,6,單身,3,7
526,21,男性,研究生,Malaysia,5.7,WhatsApp,Yes,6.6,6,單身,3,7
527,20,女性,大學,UAE,6.7,Instagram,Yes,6.3,5,戀愛中,4,8
528,22,男性,研究生,Poland,4,Facebook,No,8.1,7,單身,2,5
529,19,女性,大學,India,7,WhatsApp,Yes,5.8,5,戀愛中,4,8
530,21,男性,研究生,Canada,4.6,Instagram,Yes,7.6,7,單身,3,6
531,20,女性,大學,Brazil,5.9,TikTok,Yes,6.6,6,單身,3,7
532,22,男性,研究生,China,4.2,WeChat,No,8.1,7,戀愛中,2,5
533,19,女性,大學,Netherlands,3.5,Instagram,No,8.5,8,單身,2,4
534,21,男性,研究生,New Zealand,4.4,Facebook,Yes,7.8,7,戀愛中,3,6
535,20,女性,大學,Singapore,5.4,TikTok,Yes,6.7,6,單身,3,7
536,22,男性,研究生,Malaysia,5.8,WhatsApp,Yes,6.5,6,單身,3,7
537,19,女性,大學,UAE,6.8,Instagram,Yes,6.2,5,戀愛中,4,8
538,21,男性,研究生,Poland,3.9,Facebook,No,8.2,7,單身,2,5
539,20,女性,大學,India,7.1,WhatsApp,Yes,5.7,5,戀愛中,4,8
540,22,男性,研究生,Canada,4.5,TikTok,Yes,7.7,7,單身,3,6
541,19,女性,大學,Brazil,5.8,WhatsApp,Yes,6.7,6,單身,3,7
542,21,男性,研究生,China,4.1,WeChat,No,8.2,7,戀愛中,2,5
543,20,女性,大學,Netherlands,3.4,Instagram,No,8.6,8,單身,2,4
544,22,男性,研究生,New Zealand,4.3,Instagram,Yes,7.9,7,戀愛中,3,6
545,19,女性,大學,Singapore,5.5,TikTok,Yes,6.6,6,單身,3,7
546,21,男性,研究生,Malaysia,5.9,WhatsApp,Yes,6.4,6,單身,3,7
547,20,女性,大學,UAE,6.9,Instagram,Yes,6.1,5,戀愛中,4,8
548,22,男性,研究生,Poland,3.8,Facebook,No,8.3,7,單身,2,5
549,19,女性,大學,India,7.2,WhatsApp,Yes,5.6,5,戀愛中,4,8
550,21,男性,研究生,Canada,4.4,Instagram,Yes,7.8,7,單身,3,6
551,20,女性,大學,Brazil,5.7,TikTok,Yes,6.8,6,單身,3,7
552,22,男性,研究生,China,4,WeChat,No,8.3,7,戀愛中,2,5
553,19,女性,大學,Netherlands,3.3,Instagram,No,8.7,8,單身,2,4
554,21,男性,研究生,New Zealand,4.2,Facebook,Yes,8,7,戀愛中,3,6
555,20,女性,大學,Singapore,5.6,TikTok,Yes,6.5,6,單身,3,7
556,22,男性,研究生,Malaysia,6,WhatsApp,Yes,6.3,6,單身,3,7
557,19,女性,大學,UAE,7,Instagram,Yes,6,5,戀愛中,4,8
558,21,男性,研究生,Poland,3.7,Facebook,No,8.4,7,單身,2,5
559,20,女性,大學,India,7.3,WhatsApp,Yes,5.5,5,戀愛中,4,8
560,22,男性,研究生,Canada,4.3,TikTok,Yes,7.9,7,單身,3,6
561,19,女性,大學,Brazil,5.6,WhatsApp,Yes,6.9,6,單身,3,7
562,21,男性,研究生,China,3.9,WeChat,No,8.4,7,戀愛中,2,5
563,20,女性,大學,Netherlands,3.2,Instagram,No,8.8,8,單身,2,4
564,22,男性,研究生,New Zealand,4.1,Instagram,Yes,8.1,7,戀愛中,3,6
565,19,女性,大學,Singapore,5.7,TikTok,Yes,6.4,6,單身,3,7
566,21,男性,研究生,Malaysia,6.1,WhatsApp,Yes,6.2,6,單身,3,7
567,20,女性,大學,UAE,7.1,Instagram,Yes,5.9,5,戀愛中,4,8
568,22,男性,研究生,Poland,3.6,Facebook,No,8.5,7,單身,2,5
569,19,女性,大學,India,7.4,WhatsApp,Yes,5.4,5,戀愛中,4,8
570,21,男性,研究生,Canada,4.2,Instagram,Yes,8,7,單身,3,6
571,20,女性,大學,Spain,6.1,Instagram,Yes,7.2,5,單身,4,7
572,23,男性,研究生,Denmark,3.8,Twitter,No,7.8,8,戀愛中,2,4
573,19,女性,大學,Ireland,5.5,TikTok,Yes,6.8,6,單身,4,8
574,22,男性,研究生,India,7.2,Facebook,Yes,5.9,4,單身,5,9
575,21,女性,大學,Switzerland,4.2,Instagram,No,7.5,7,戀愛中,2,5
576,24,男性,研究生,Turkey,6.8,TikTok,Yes,6.2,5,單身,4,8
577,20,女性,大學,USA,5.9,Instagram,Yes,6.7,6,戀愛中,3,7
578,22,男性,研究生,Mexico,6.5,Facebook,Yes,6.1,5,單身,4,8
579,19,女性,大學,France,4.7,Twitter,No,7.4,7,單身,2,5
580,23,男性,研究生,Canada,5.2,Instagram,Yes,7,6,戀愛中,3,6
581,21,女性,大學,UK,6.3,TikTok,Yes,6.4,5,單身,4,8
582,24,男性,研究生,Italy,4.9,Facebook,No,7.3,7,戀愛中,2,5
583,20,女性,大學,Russia,6.7,Instagram,Yes,6,5,單身,4,8
584,22,男性,研究生,China,5.8,WeChat,Yes,6.5,6,戀愛中,3,7
585,19,女性,大學,Japan,4.5,Twitter,No,7.6,8,單身,2,4
586,23,男性,研究生,Poland,6.4,Facebook,Yes,6.3,5,單身,4,8
587,21,女性,大學,Finland,4.1,Instagram,No,7.7,7,戀愛中,2,5
588,24,男性,研究生,Spain,6.6,TikTok,Yes,6.2,5,單身,4,8
589,20,女性,大學,Denmark,4.4,Instagram,No,7.4,7,戀愛中,2,5
590,22,男性,研究生,Ireland,5.7,Twitter,Yes,6.8,6,單身,3,7
591,19,女性,大學,India,7,Instagram,Yes,5.8,4,單身,5,9
592,23,男性,研究生,Switzerland,4.3,Facebook,No,7.5,7,戀愛中,2,5
593,21,女性,大學,Turkey,6.9,TikTok,Yes,6.1,5,單身,4,8
594,24,男性,研究生,USA,5.6,Instagram,Yes,6.9,6,戀愛中,3,7
595,20,女性,大學,Mexico,6.2,Facebook,Yes,6.3,5,單身,4,8
596,21,男性,大學,France,5.8,Instagram,Yes,6.7,6,單身,3,7
597,23,女性,研究生,Canada,4.9,TikTok,No,7.3,7,戀愛中,2,5
598,20,男性,大學,UK,6.4,Facebook,Yes,6.2,5,單身,4,8
599,22,女性,研究生,Italy,5.1,Twitter,No,7.1,7,戀愛中,2,5
600,19,男性,大學,Russia,6.7,Instagram,Yes,6,4,單身,4,8
601,24,女性,研究生,China,5.5,WeChat,Yes,6.8,6,戀愛中,3,7
602,21,男性,大學,Japan,4.3,Twitter,No,7.6,8,單身,2,4
603,23,女性,研究生,Poland,6.2,Instagram,Yes,6.4,5,單身,4,8
604,20,男性,大學,Finland,4.5,Facebook,No,7.4,7,戀愛中,2,5
605,22,女性,研究生,Spain,6.3,TikTok,Yes,6.3,5,單身,4,8
606,19,男性,大學,Denmark,4.7,Instagram,No,7.2,7,戀愛中,2,5
607,24,女性,研究生,Ireland,5.9,Twitter,Yes,6.6,6,單身,3,7
608,21,男性,大學,India,7.1,Facebook,Yes,5.7,4,單身,5,9
609,23,女性,研究生,Switzerland,4.4,Instagram,No,7.4,7,戀愛中,2,5
610,20,男性,大學,Turkey,6.6,TikTok,Yes,6.2,5,單身,4,8
611,22,女性,研究生,USA,5.4,Instagram,Yes,6.9,6,戀愛中,3,7
612,19,男性,大學,Mexico,6.5,Facebook,Yes,6.1,5,單身,4,8
613,24,女性,研究生,France,4.8,Twitter,No,7.3,7,戀愛中,2,5
614,21,男性,大學,Canada,5.7,Instagram,Yes,6.7,6,單身,3,7
615,23,女性,研究生,UK,6.1,TikTok,Yes,6.4,5,單身,4,8
616,20,男性,大學,Italy,4.6,Facebook,No,7.2,7,戀愛中,2,5
617,22,女性,研究生,Russia,6.8,Instagram,Yes,5.9,4,單身,5,9
618,19,男性,大學,China,5.6,WeChat,Yes,6.8,6,戀愛中,3,7
619,24,女性,研究生,Japan,4.2,Twitter,No,7.5,8,單身,2,4
620,21,男性,大學,Poland,6.3,TikTok,Yes,6.3,5,單身,4,8
621,23,女性,研究生,Finland,4.4,Instagram,No,7.4,7,戀愛中,2,5
622,20,男性,大學,Spain,6.5,Facebook,Yes,6.2,5,單身,4,8
623,22,女性,研究生,Denmark,4.6,Twitter,No,7.3,7,戀愛中,2,5
624,19,男性,大學,Ireland,5.8,Instagram,Yes,6.6,6,單身,3,7
625,24,女性,研究生,India,7,TikTok,Yes,5.8,4,單身,5,9
626,21,男性,大學,Switzerland,4.5,Facebook,No,7.3,7,戀愛中,2,5
627,23,女性,研究生,Turkey,6.7,Instagram,Yes,6.1,5,單身,4,8
628,20,男性,大學,USA,5.5,Twitter,Yes,6.8,6,戀愛中,3,7
629,22,女性,研究生,Mexico,6.4,Facebook,Yes,6.2,5,單身,4,8
630,19,男性,大學,France,4.7,Instagram,No,7.2,7,戀愛中,2,5
631,24,女性,研究生,Canada,5.6,TikTok,Yes,6.7,6,單身,3,7
632,21,男性,大學,UK,6.2,Facebook,Yes,6.3,5,單身,4,8
633,23,女性,研究生,Italy,4.8,Twitter,No,7.1,7,戀愛中,2,5
634,20,男性,大學,Russia,6.9,Instagram,Yes,5.9,4,單身,5,9
635,22,女性,研究生,China,5.7,WeChat,Yes,6.7,6,戀愛中,3,7
636,19,男性,大學,Japan,4.4,Twitter,No,7.4,8,單身,2,4
637,24,女性,研究生,Poland,6.1,TikTok,Yes,6.4,5,單身,4,8
638,21,男性,大學,Finland,4.3,Instagram,No,7.5,7,戀愛中,2,5
639,23,女性,研究生,Spain,6.4,Facebook,Yes,6.2,5,單身,4,8
640,20,男性,大學,Denmark,4.5,Twitter,No,7.3,7,戀愛中,2,5
641,22,女性,研究生,Ireland,5.9,Instagram,Yes,6.5,6,單身,3,7
642,19,男性,大學,India,7.2,TikTok,Yes,5.7,4,單身,5,9
643,24,女性,研究生,Switzerland,4.6,Facebook,No,7.2,7,戀愛中,2,5
644,21,男性,大學,Turkey,6.8,Instagram,Yes,6,5,單身,4,8
645,23,女性,研究生,USA,5.3,Twitter,Yes,6.8,6,戀愛中,3,7
646,22,男性,研究生,Mexico,6.3,Facebook,Yes,6.2,5,單身,4,8
647,20,女性,大學,France,4.8,Instagram,No,7.1,7,戀愛中,2,5
648,23,男性,研究生,Canada,5.7,TikTok,Yes,6.6,6,單身,3,7
649,21,女性,大學,UK,6.2,Twitter,Yes,6.3,5,單身,4,8
650,24,男性,研究生,Italy,4.7,Facebook,No,7.2,7,戀愛中,2,5
651,19,女性,大學,Russia,6.8,Instagram,Yes,5.9,4,單身,5,9
652,22,男性,研究生,China,5.6,WeChat,Yes,6.7,6,戀愛中,3,7
653,20,女性,大學,Japan,4.3,Twitter,No,7.5,8,單身,2,4
654,23,男性,研究生,Poland,6.2,TikTok,Yes,6.3,5,單身,4,8
655,21,女性,大學,Finland,4.4,Instagram,No,7.4,7,戀愛中,2,5
656,24,男性,研究生,Spain,6.5,Facebook,Yes,6.1,5,單身,4,8
657,19,女性,大學,Denmark,4.6,Twitter,No,7.3,7,戀愛中,2,5
658,22,男性,研究生,Ireland,5.8,Instagram,Yes,6.6,6,單身,3,7
659,20,女性,大學,India,7.1,TikTok,Yes,5.8,4,單身,5,9
660,23,男性,研究生,Switzerland,4.5,Facebook,No,7.3,7,戀愛中,2,5
661,21,女性,大學,Turkey,6.7,Instagram,Yes,6,5,單身,4,8
662,24,男性,研究生,USA,5.4,Twitter,Yes,6.8,6,戀愛中,3,7
663,19,女性,大學,Mexico,6.4,TikTok,Yes,6.2,5,單身,4,8
664,22,男性,研究生,France,4.7,Facebook,No,7.2,7,戀愛中,2,5
665,20,女性,大學,Canada,5.6,Instagram,Yes,6.7,6,單身,3,7
